;fbus;tbus;r;x;b;rateA;rateAp;;;rateB;rateC;ratio;angle;status;angmin;angmax
0;35;36;0.015704826;0.001068994;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
1;2;1;0.0004418;0.000286286;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
2;7;6;0.003294402;0.000776225;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
3;63;64;0.009294812;0.001247042;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
4;26;27;0.006963364;0.000934242;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
5;26;28;0.013125582;0.003092643;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
6;51;52;0.008237947;0.000560739;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
7;5;6;0.008182095;0.001927861;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
8;33;34;0.002691633;0.000634201;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
9;31;1;0.000433135;0.000280671;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
10;66;67;0.023735388;0.002908226;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
11;65;66;0.009787717;0.00119926;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
12;43;44;0.004979012;0.001173152;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
13;79;80;0.007926335;0.002031123;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
14;55;54;0.029791029;0.007201863;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
15;35;34;0.00679207;0.001600344;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
16;14;6;0.042074691;0.002863933;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
17;5;4;0.023941595;0.005641106;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
18;63;62;0.003527117;0.000831057;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
19;35;37;0.007541137;0.001776838;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
20;38;39;0.013678652;0.000931076;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
21;7;8;0.006621699;0.000888403;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
22;15;6;0.006765013;0.000907631;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
23;57;54;0.008731415;0.000594329;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
24;51;35;0.059897623;0.004077102;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
25;16;17;0.00512524;0.000348864;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
26;76;66;0.00765515;0.00052107;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
27;16;5;0.016295015;0.001109167;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
28;69;70;0.005011154;0.000614002;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
29;69;68;0.011434691;0.001401058;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
30;45;44;0.036364335;0.002475242;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
31;38;37;0.006213802;0.001464093;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
32;3;2;0.005753944;0.001355741;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
33;31;32;0.040862964;0.026746006;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
34;61;1;0.000514598;0.000333459;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
35;41;40;0.003680624;0.000493812;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
36;19;20;0.003916039;0.000525397;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
37;56;55;0.013557149;0.000414848;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
38;71;70;0.01106406;0.000753107;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
39;18;5;0.013325681;0.00090705;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
40;43;42;0.012230166;0.002881665;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
41;21;4;0.015450863;0.001051707;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
42;43;47;0.024554284;0.001671357;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
43;3;4;0.006638668;0.001564199;0;0.03784531;2.370220455;1.609;0.678839809;0;0;0;0;1;0;0
44;3;23;0.035846;0.008446015;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
45;10;9;0.019555604;0.00239609;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
46;48;42;0.008517676;0.001142777;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
47;70;72;0.075713681;0.005153667;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
48;38;40;0.008623078;0.002031765;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
49;46;44;0.009709931;0.000660934;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
50;68;67;0.01714588;0.001167083;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
51;5;19;0.00113598;0.000291095;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
52;49;37;0.010334449;0.000703444;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
53;73;69;0.011426863;0.000777802;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
54;78;1;0.001375535;0.000352481;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
55;33;32;0.005277869;0.00345452;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
56;67;75;0.023325782;0.001587736;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
57;13;9;0.005669512;0.000385911;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
58;60;32;0.005979816;0.000802284;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
59;78;79;0.031312103;0.007377741;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
60;22;21;0.005196998;0.000697257;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
61;25;24;0.007253086;0.000973113;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
62;34;54;0.01405544;0.003397847;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
63;49;50;0.004502307;0.000604054;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
64;11;10;0.019916966;0.001355705;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
65;58;33;0.006487178;0.000441568;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
66;23;24;0.004136082;0.000974541;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
67;40;42;0.005010508;0.001180573;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
68;51;53;0.032794353;0.002232241;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
69;7;9;0.00407304;0.000959687;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
70;61;62;0.010028999;0.002363027;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
71;63;65;0.018313349;0.00224388;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
72;26;23;0.004693042;0.001105772;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
73;29;28;0.010745089;0.000731395;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
74;12;10;0.014389489;0.001930571;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
75;29;30;0.005137034;0.000689212;0;0.087641771;5.488931609;;;0;0;0;0;1;0;0
76;65;77;0.008599068;0.00058532;0;0.03784531;2.370220455;;;0;0;0;0;1;0;0
77;33;59;0.016227526;0.001104573;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
78;74;68;0.003443477;0.00023439;0;0.055772036;3.492956473;;;0;0;0;0;1;0;0
