bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;basekV;zone;Vmax;Vmin
1;3;0;0;0;0;1;1;0;0.23;1;1.2;0.75
2;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
3;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
4;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
5;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
6;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
7;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
8;1;0.001227;0;0;0;1;1;0;0.23;1;1.2;0.75
9;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
10;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
11;1;0.003519;0;0;0;1;1;0;0.23;1;1.2;0.75
12;1;0.001792;0;0;0;1;1;0;0.23;1;1.2;0.75
13;1;0.00193;0;0;0;1;1;0;0.23;1;1.2;0.75
14;1;0.001771;0;0;0;1;1;0;0.23;1;1.2;0.75
15;1;0.000185;0;0;0;1;1;0;0.23;1;1.2;0.75
16;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
17;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
18;1;0.000786;0;0;0;1;1;0;0.23;1;1.2;0.75
19;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
20;1;0.001572;0;0;0;1;1;0;0.23;1;1.2;0.75
21;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
22;1;2.70E-05;0;0;0;1;1;0;0.23;1;1.2;0.75
23;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
24;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
25;1;7.00E-05;0;0;0;1;1;0;0.23;1;1.2;0.75
26;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
27;1;0.001843;0;0;0;1;1;0;0.23;1;1.2;0.75
28;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
29;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
30;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
31;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
32;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
33;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
34;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
35;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
36;1;2.00E-06;0;0;0;1;1;0;0.23;1;1.2;0.75
37;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
38;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
39;1;2.00E-06;0;0;0;1;1;0;0.23;1;1.2;0.75
40;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
41;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
42;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
43;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
44;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
45;1;5.00E-06;0;0;0;1;1;0;0.23;1;1.2;0.75
46;1;0.00023;0;0;0;1;1;0;0.23;1;1.2;0.75
47;1;0.000256;0;0;0;1;1;0;0.23;1;1.2;0.75
48;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
49;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
50;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
51;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
52;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
53;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
54;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
55;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
56;1;5.90E-05;0;0;0;1;1;0;0.23;1;1.2;0.75
57;1;8.40E-05;0;0;0;1;1;0;0.23;1;1.2;0.75
58;1;0.000681;0;0;0;1;1;0;0.23;1;1.2;0.75
59;1;0.00074;0;0;0;1;1;0;0.23;1;1.2;0.75
60;1;0.001478;0;0;0;1;1;0;0.23;1;1.2;0.75
61;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
62;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
63;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
64;1;0.00329;0;0;0;1;1;0;0.23;1;1.2;0.75
65;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
66;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
67;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
68;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
69;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
70;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
71;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
72;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
73;1;0.000994;0;0;0;1;1;0;0.23;1;1.2;0.75
74;1;0.000296;0;0;0;1;1;0;0.23;1;1.2;0.75
75;1;0.000334;0;0;0;1;1;0;0.23;1;1.2;0.75
76;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
77;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
78;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
79;1;0;0;0;0;1;1;0;0.23;1;1.2;0.75
80;1;0.002837;0;0;0;1;1;0;0.23;1;1.2;0.75
