bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;basekV;zone;Vmax;Vmin
1;3;0;0;0;0;1;1;0;0.23;1;1.2;0
2;1;0;0;0;0;1;1;0;0.23;1;1.2;0
3;1;0;0;0;0;1;1;0;0.23;1;1.2;0
4;1;0;0;0;0;1;1;0;0.23;1;1.2;0
5;1;0;0;0;0;1;1;0;0.23;1;1.2;0
6;1;0;0;0;0;1;1;0;0.23;1;1.2;0
7;1;0;0;0;0;1;1;0;0.23;1;1.2;0
8;1;0.001227;0;0;0;1;1;0;0.23;1;1.2;0
9;1;0;0;0;0;1;1;0;0.23;1;1.2;0
10;1;0;0;0;0;1;1;0;0.23;1;1.2;0
11;1;0.003519;0;0;0;1;1;0;0.23;1;1.2;0
12;1;0.001792;0;0;0;1;1;0;0.23;1;1.2;0
13;1;0.00193;0;0;0;1;1;0;0.23;1;1.2;0
14;1;0.001771;0;0;0;1;1;0;0.23;1;1.2;0
15;1;0.000185;0;0;0;1;1;0;0.23;1;1.2;0
16;1;0;0;0;0;1;1;0;0.23;1;1.2;0
17;1;0;0;0;0;1;1;0;0.23;1;1.2;0
18;1;0.000786;0;0;0;1;1;0;0.23;1;1.2;0
19;1;0;0;0;0;1;1;0;0.23;1;1.2;0
20;1;0.001572;0;0;0;1;1;0;0.23;1;1.2;0
21;1;0;0;0;0;1;1;0;0.23;1;1.2;0
22;1;2.70E-05;0;0;0;1;1;0;0.23;1;1.2;0
23;1;0;0;0;0;1;1;0;0.23;1;1.2;0
24;1;0;0;0;0;1;1;0;0.23;1;1.2;0
25;1;7.00E-05;0;0;0;1;1;0;0.23;1;1.2;0
26;1;0;0;0;0;1;1;0;0.23;1;1.2;0
27;1;0.001843;0;0;0;1;1;0;0.23;1;1.2;0
28;1;0;0;0;0;1;1;0;0.23;1;1.2;0
29;1;0;0;0;0;1;1;0;0.23;1;1.2;0
30;1;0;0;0;0;1;1;0;0.23;1;1.2;0
31;1;0;0;0;0;1;1;0;0.23;1;1.2;0
32;1;0;0;0;0;1;1;0;0.23;1;1.2;0
33;1;0;0;0;0;1;1;0;0.23;1;1.2;0
34;1;0;0;0;0;1;1;0;0.23;1;1.2;0
35;1;0;0;0;0;1;1;0;0.23;1;1.2;0
36;1;2.00E-06;0;0;0;1;1;0;0.23;1;1.2;0
37;1;0;0;0;0;1;1;0;0.23;1;1.2;0
38;1;0;0;0;0;1;1;0;0.23;1;1.2;0
39;1;2.00E-06;0;0;0;1;1;0;0.23;1;1.2;0
40;1;0;0;0;0;1;1;0;0.23;1;1.2;0
41;1;0;0;0;0;1;1;0;0.23;1;1.2;0
42;1;0;0;0;0;1;1;0;0.23;1;1.2;0
43;1;0;0;0;0;1;1;0;0.23;1;1.2;0
44;1;0;0;0;0;1;1;0;0.23;1;1.2;0
45;1;5.00E-06;0;0;0;1;1;0;0.23;1;1.2;0
46;1;0.00023;0;0;0;1;1;0;0.23;1;1.2;0
47;1;0.000256;0;0;0;1;1;0;0.23;1;1.2;0
48;1;0;0;0;0;1;1;0;0.23;1;1.2;0
49;1;0;0;0;0;1;1;0;0.23;1;1.2;0
50;1;0;0;0;0;1;1;0;0.23;1;1.2;0
51;1;0;0;0;0;1;1;0;0.23;1;1.2;0
52;1;0;0;0;0;1;1;0;0.23;1;1.2;0
53;1;0;0;0;0;1;1;0;0.23;1;1.2;0
54;1;0;0;0;0;1;1;0;0.23;1;1.2;0
55;1;0;0;0;0;1;1;0;0.23;1;1.2;0
56;1;5.90E-05;0;0;0;1;1;0;0.23;1;1.2;0
57;1;8.40E-05;0;0;0;1;1;0;0.23;1;1.2;0
58;1;0.000681;0;0;0;1;1;0;0.23;1;1.2;0
59;1;0.00074;0;0;0;1;1;0;0.23;1;1.2;0
60;1;0.001478;0;0;0;1;1;0;0.23;1;1.2;0
61;1;0;0;0;0;1;1;0;0.23;1;1.2;0
62;1;0;0;0;0;1;1;0;0.23;1;1.2;0
63;1;0;0;0;0;1;1;0;0.23;1;1.2;0
64;1;0.00329;0;0;0;1;1;0;0.23;1;1.2;0
65;1;0;0;0;0;1;1;0;0.23;1;1.2;0
66;1;0;0;0;0;1;1;0;0.23;1;1.2;0
67;1;0;0;0;0;1;1;0;0.23;1;1.2;0
68;1;0;0;0;0;1;1;0;0.23;1;1.2;0
69;1;0;0;0;0;1;1;0;0.23;1;1.2;0
70;1;0;0;0;0;1;1;0;0.23;1;1.2;0
71;1;0;0;0;0;1;1;0;0.23;1;1.2;0
72;1;0;0;0;0;1;1;0;0.23;1;1.2;0
73;1;0.000994;0;0;0;1;1;0;0.23;1;1.2;0
74;1;0.000296;0;0;0;1;1;0;0.23;1;1.2;0
75;1;0.000334;0;0;0;1;1;0;0.23;1;1.2;0
76;1;0;0;0;0;1;1;0;0.23;1;1.2;0
77;1;0;0;0;0;1;1;0;0.23;1;1.2;0
78;1;0;0;0;0;1;1;0;0.23;1;1.2;0
79;1;0;0;0;0;1;1;0;0.23;1;1.2;0
80;1;0.002837;0;0;0;1;1;0;0.23;1;1.2;0
