,From Bus,To Bus,Length [km],Branch type
0,35,36,0.0433594955305194,EX 3x25 Al
1,2,1,0.0117097539189095,EX 3x95 Al
2,7,6,0.0341082076232467,EX 3x95 Al
3,63,64,0.0480413231164419,EX 3x50 Al
4,26,27,0.0359909609295077,EX 3x50 Al
5,26,28,0.1358942100703613,EX 3x95 Al
6,51,52,0.0227441710665586,EX 3x25 Al
7,5,6,0.0847123790817782,EX 3x95 Al
8,33,34,0.0278675097336465,EX 3x95 Al
9,31,1,0.0114800899655626,EX 3x95 Al
10,66,67,0.1226791218245401,EX 3x50 Al
11,65,66,0.0505889575896251,EX 3x50 Al
12,43,44,0.0515496243393805,EX 3x95 Al
13,79,80,0.082064394479121,EX 3x95 Al
14,55,54,0.087889723481982,EX 3x25 Al
15,35,34,0.0703209143810478,EX 3x95 Al
16,14,6,0.11616412865142,EX 3x25 Al
17,5,4,0.24787655573449,EX 3x95 Al
18,63,62,0.0365176016811611,EX 3x95 Al
19,35,37,0.0780762910656142,EX 3x95 Al
20,38,39,0.037765428030426,EX 3x25 Al
21,7,8,0.0342250257547629,EX 3x50 Al
22,15,6,0.0349657607522532,EX 3x50 Al
23,57,54,0.0241065878700274,EX 3x25 Al
24,51,35,0.1653715095869235,EX 3x25 Al
25,16,17,0.0141502885876669,EX 3x25 Al
26,76,66,0.0211351247146569,EX 3x25 Al
27,16,5,0.0449889521282574,EX 3x25 Al
28,69,70,0.0259007346030671,EX 3x50 Al
29,69,68,0.0591015311312293,EX 3x50 Al
30,45,44,0.1003983904672791,EX 3x25 Al
31,38,37,0.0643338898287144,EX 3x95 Al
32,3,2,0.0595727936541998,EX 3x95 Al
33,31,32,0.3759577876790581,EX 3x95 Al
35,61,1,0.01363923773212,EX 3x95 Al
36,41,40,0.0190237350463866,EX 3x50 Al
37,19,20,0.0202405037650398,EX 3x50 Al
38,56,55,0.0145831046054458,EX 3x25 Al
39,71,70,0.0305467933282955,EX 3x25 Al
40,18,5,0.036790908362126,EX 3x25 Al
41,43,42,0.1266236140558336,EX 3x95 Al
43,21,4,0.0426583293477855,EX 3x25 Al
44,43,47,0.0677919892922174,EX 3x25 Al
45,3,4,0.0687326880280733,EX 3x95 Al
46,3,23,0.3711274448639379,EX 3x95 Al
47,10,9,0.101075419727162,EX 3x50 Al
48,48,42,0.0440246035024027,EX 3x50 Al
50,70,72,0.2090381065996855,EX 3x25 Al
51,38,40,0.0892780500512151,EX 3x95 Al
52,46,44,0.0268081756874914,EX 3x25 Al
53,68,67,0.0473381070340109,EX 3x25 Al
54,5,19,0.0117612434789216,EX 3x95 Al
55,49,37,0.0285324075720986,EX 3x25 Al
56,73,69,0.0315484575816513,EX 3x25 Al
57,78,1,0.0142414418152889,EX 3x95 Al
58,33,32,0.0485587899890954,EX 3x95 Al
59,67,75,0.0644002147064502,EX 3x25 Al
60,13,9,0.0156529695953618,EX 3x25 Al
61,60,32,0.030907379603598,EX 3x50 Al
62,78,79,0.3241862624919376,EX 3x95 Al
63,22,21,0.0268612889188063,EX 3x50 Al
64,25,24,0.0374884206281362,EX 3x50 Al
65,34,54,0.0414664665691622,EX 3x25 Al
66,49,50,0.0232707020386574,EX 3x50 Al
67,11,10,0.0549888055297856,EX 3x25 Al
68,58,33,0.017910465935845,EX 3x25 Al
69,23,24,0.0428224469512267,EX 3x95 Al
70,40,42,0.0518757177096435,EX 3x95 Al
71,51,53,0.0905420165918109,EX 3x25 Al
72,7,9,0.0421697519452744,EX 3x95 Al
73,61,62,0.103834088171185,EX 3x95 Al
74,63,65,0.0946546795766077,EX 3x50 Al
75,26,23,0.0485888740080295,EX 3x95 Al
76,29,28,0.0296661459487764,EX 3x25 Al
77,12,10,0.0743737563581697,EX 3x50 Al
78,29,30,0.0265513596436248,EX 3x50 Al
79,65,77,0.0237411903505847,EX 3x25 Al
80,33,59,0.0448026198181853,EX 3x25 Al
81,74,68,0.0095071047266348,EX 3x25 Al
