,bus_i,Consumer type
0,8,Private building
1,11,Private building
2,12,Private building
3,13,Private building
4,14,Private building
5,15,Private building
6,18,Private building
7,20,Private building
8,22,Private building
9,25,Private building
10,27,Private building
11,30,Private building
12,36,Private building
13,39,Private building
14,41,Private building
15,45,Private building
16,46,Private building
17,48,Private building
18,50,Private building
19,53,Private building
20,56,Private building
21,57,Private building
22,58,Private building
23,59,Private building
24,60,Private building
25,64,Private building
26,71,Private building
27,73,Private building
28,74,Private building
29,75,Private building
30,77,Private building
31,80,Private building
